Date/Time	Height [m]	T2 [°C]	RH [%]	NET [W/m**2]	Precip [mm/h]
2002-09-01T07:00	2	5.830	69.79	80.890	0.000
2002-09-01T08:00	2	5.900	66.62	75.270	0.000
2002-09-01T09:00	2	6.030	64.33	35.900	0.000
2002-09-01T10:00	2	5.900	69.39	-1.300	0.000
2002-09-01T11:00	2	4.960	74.90	-44.550	0.000
2002-09-01T12:00	2	4.420	82.70	-32.450	0.000
2002-09-01T13:00	2	3.080	87.10	-48.030	0.000
2002-09-01T14:00	2	2.200	87.30	-62.310	0.000
2002-09-01T15:00	2	1.330	91.40	-57.560	0.000
2002-09-01T16:00	2	1.130	92.00	-60.160	0.000
2002-09-01T17:00	2	1.470	91.20	-64.060	0.000
2002-09-01T18:00	2	1.260	93.10	-59.300	0.000
2002-09-01T19:00	2	1.060	92.20	-63.630	0.000
2002-09-01T20:00	2	1.330	90.80	-53.670	0.000
2002-09-01T21:00	2	1.870	90.00	-25.970	0.000
2002-09-01T22:00	2	2.340	85.90	28.560	0.000
2002-09-01T23:00	2	2.940	83.60	96.490	0.000
2002-09-02T00:00	2	4.150	82.60	144.510	0.000
2002-09-02T01:00	2	4.890	79.40	137.570	0.000
2002-09-02T02:00	2	6.310	70.00	211.530	0.000
2002-09-02T03:00	2	6.640	71.30	153.120	0.000
2002-09-02T04:00	2	7.990	65.94	215.810	0.000
2002-09-02T05:00	2	7.980	64.32	192.010	0.000
2002-09-02T06:00	2	8.320	66.68	167.340	0.000
2002-09-02T07:00	2	7.980	73.40	70.050	0.000
2002-09-02T08:00	2	8.520	71.10	84.320	0.000
2002-09-02T09:00	2	8.930	69.44	69.620	0.000
2002-09-02T10:00	2	8.660	70.40	-2.390	0.000
2002-09-02T11:00	2	8.460	70.60	-16.730	0.000
2002-09-02T12:00	2	7.680	73.20	-46.630	0.000
2002-09-02T13:00	2	7.570	74.40	-21.500	0.000
2002-09-02T14:00	2	7.790	73.80	-10.960	0.000
2002-09-02T15:00	2	7.680	72.20	-10.700	0.000
2002-09-02T16:00	2	7.440	73.70	-25.160	0.000
2002-09-02T17:00	2	7.170	74.30	-48.470	0.000
2002-09-02T18:00	2	6.930	74.60	-35.560	0.000
2002-09-02T19:00	2	7.080	73.50	-29.530	0.000
2002-09-02T20:00	2	7.150	74.90	-10.300	0.000
2002-09-02T21:00	2	7.250	74.60	-15.650	0.000
2002-09-02T22:00	2	7.240	77.20	-29.100	0.200
2002-09-02T23:00	2	7.050	84.00	-42.910	1.580
2002-09-03T00:00	2	7.300	86.70	-24.920	4.360
2002-09-03T01:00	2	7.730	87.80	-18.660	4.750
2002-09-03T02:00	2	7.980	88.50	-17.410	1.190
2002-09-03T03:00	2	8.620	87.80	9.870	0.000
2002-09-03T04:00	2	9.650	85.90	46.300	0.000
2002-09-03T05:00	2	10.200	83.10	135.490	0.000
2002-09-03T06:00	2	9.690	76.90	104.090	0.000
2002-09-03T07:00	2	9.100	75.80	111.550	0.000
2002-09-03T08:00	2	7.230	77.60	103.700	0.000
2002-09-03T10:00	2	5.130	79.50	21.590	0.000
2002-09-03T11:00	2	4.420	81.10	-29.820	0.000
2002-09-03T12:00	2	3.460	83.50	-34.340	0.000
2002-09-03T13:00	2	2.850	87.10	-13.610	0.000
2002-09-03T14:00	2	2.380	87.70	-28.450	0.000
2002-09-03T15:00	2	1.970	87.30	-42.880	0.000
2002-09-03T16:00	2	1.230	86.30	-60.950	0.000
2002-09-03T17:00	2	1.170	85.80	-32.070	0.000
2002-09-03T18:00	2	1.430	84.10	-26.950	0.000
2002-09-03T19:00	2	1.450	85.10	-23.330	0.000
2002-09-03T20:00	2	1.500	85.10	-9.190	0.000
2002-09-03T21:00	2	1.500	86.00	-2.070	0.000
2002-09-03T22:00	2	1.670	85.40	11.400	0.000
2002-09-03T23:00	2	1.640	83.70	41.400	0.000
2002-09-04T00:00	2	2.040	77.30	86.680	0.000
2002-09-04T01:00	2	2.680	74.70	134.260	0.000
2002-09-04T02:00	2	2.510	80.10	126.710	0.000
2002-09-04T03:00	2	2.540	80.80	108.070	0.000
2002-09-04T04:00	2	3.240	76.60	158.700	0.000
2002-09-04T05:00	2	3.070	75.20	105.860	0.000
2002-09-04T06:00	2	2.470	80.80	84.680	0.000
2002-09-04T07:00	2	1.750	87.60	67.770	0.000
2002-09-04T08:00	2	1.580	83.00	47.700	0.000
2002-09-04T09:00	2	1.420	83.40	16.050	0.000
2002-09-04T10:00	2	0.990	81.80	8.680	0.000
2002-09-04T11:00	2	0.260	82.10	-31.910	0.000
2002-09-04T12:00	2	-0.070	80.30	-33.910	0.000
2002-09-04T13:00	2	-0.300	81.40	-21.700	0.000
2002-09-04T14:00	2	-0.470	76.70	-14.500	0.000
2002-09-04T15:00	2	-0.450	77.40	-10.910	0.000
2002-09-04T16:00	2	-0.400	74.80	-10.660	0.000
2002-09-04T17:00	2	-0.360	74.00	-10.910	0.000
2002-09-04T18:00	2	-0.390	74.30	-10.520	0.000
2002-09-04T19:00	2	-0.310	73.90	-11.000	0.000
2002-09-04T20:00	2	-0.210	76.90	-10.760	0.000
