Date/Time	Height [m]	ff [m/s]
2002-08-31T08:00	3	5.566
2002-08-31T09:00	3	4.253
2002-08-31T10:00	3	5.272
2002-08-31T11:00	3	5.238
2002-08-31T12:00	3	6.228
2002-08-31T13:00	3	4.694
2002-08-31T14:00	3	5.826
2002-08-31T15:00	3	4.346
2002-08-31T16:00	3	6.096
2002-08-31T17:00	3	4.601
2002-08-31T18:00	3	6.282
2002-08-31T19:00	3	4.581
2002-08-31T20:00	3	4.768
2002-08-31T21:00	3	6.341
2002-08-31T22:00	3	3.156
2002-08-31T23:00	3	5.743
2002-09-01T00:00	3	4.812
2002-09-01T01:00	3	4.885
2002-09-01T02:00	3	4.939
2002-09-01T03:00	3	2.871
2002-09-01T04:00	3	5.165
2002-09-01T05:00	3	3.195
2002-09-01T06:00	3	1.945
2002-09-01T07:00	3	3.533
2002-09-01T08:00	3	3.165
2002-09-01T09:00	3	2.171
2002-09-01T10:00	3	1.343
2002-09-01T11:00	3	2.190
2002-09-01T12:00	3	3.356
2002-09-01T13:00	3	2.999
2002-09-01T14:00	3	3.425
2002-09-01T15:00	3	1.994
2002-09-01T16:00	3	2.445
2002-09-01T17:00	3	3.249
2002-09-01T18:00	3	3.807
2002-09-01T19:00	3	4.062
2002-09-01T20:00	3	4.743
2002-09-01T21:00	3	4.327
2002-09-01T22:00	3	5.963
2002-09-01T23:00	3	7.040
2002-09-02T00:00	3	5.674
2002-09-02T01:00	3	6.919
2002-09-02T02:00	3	6.419
2002-09-02T03:00	3	8.130
2002-09-02T04:00	3	6.747
2002-09-02T05:00	3	9.030
2002-09-02T06:00	3	8.650
2002-09-02T07:00	3	8.440
2002-09-02T08:00	3	8.850
2002-09-02T09:00	3	9.650
2002-09-02T10:00	3	8.500
2002-09-02T11:00	3	8.130
2002-09-02T12:00	3	7.260
2002-09-02T13:00	3	7.090
2002-09-02T14:00	3	7.380
2002-09-02T15:00	3	7.680
2002-09-02T16:00	3	8.150
2002-09-02T17:00	3	8.150
2002-09-02T18:00	3	8.370
2002-09-02T19:00	3	8.930
2002-09-02T20:00	3	9.310
2002-09-02T21:00	3	10.010
2002-09-02T22:00	3	10.690
2002-09-02T23:00	3	9.760
2002-09-03T00:00	3	8.530
2002-09-03T01:00	3	8.400
2002-09-03T02:00	3	7.290
2002-09-03T03:00	3	6.183
2002-09-03T04:00	3	7.010
2002-09-03T05:00	3	6.065
2002-09-03T06:00	3	7.510
2002-09-03T07:00	3	7.430
2002-09-03T08:00	3	8.470
2002-09-03T10:00	3	8.170
2002-09-03T11:00	3	8.060
2002-09-03T12:00	3	6.013
2002-09-03T13:00	3	4.612
2002-09-03T14:00	3	6.105
2002-09-03T15:00	3	6.066
2002-09-03T16:00	3	4.748
2002-09-03T17:00	3	4.146
2002-09-03T18:00	3	4.408
2002-09-03T19:00	3	3.461
2002-09-03T20:00	3	3.747
2002-09-03T21:00	3	4.066
2002-09-03T22:00	3	4.858
2002-09-03T23:00	3	5.611
2002-09-04T00:00	3	5.374
2002-09-04T01:00	3	5.825
2002-09-04T02:00	3	5.770
2002-09-04T03:00	3	5.918
2002-09-04T04:00	3	5.981
2002-09-04T05:00	3	6.386
2002-09-04T06:00	3	6.466
2002-09-04T07:00	3	6.169
2002-09-04T08:00	3	6.196
2002-09-04T09:00	3	5.802
2002-09-04T10:00	3	5.585
2002-09-04T11:00	3	5.171
2002-09-04T12:00	3	4.727
2002-09-04T13:00	3	4.895
2002-09-04T14:00	3	5.654
2002-09-04T15:00	3	4.385
2002-09-04T16:00	3	4.331
2002-09-04T17:00	3	3.648
2002-09-04T18:00	3	3.500
2002-09-04T19:00	3	3.313
2002-09-04T20:00	3	3.160
2002-09-04T21:00	3	3.278
2002-09-04T22:00	3	3.411
2002-09-04T23:00	3	3.866
2002-09-05T00:00	3	4.121
2002-09-05T01:00	3	5.031
2002-09-05T02:00	3	5.350
2002-09-05T03:00	3	5.635
2002-09-05T04:00	3	5.750
2002-09-05T05:00	3	6.523
2002-09-05T06:00	3	6.281
2002-09-05T07:00	3	6.440
2002-09-05T08:00	3	6.566
2002-09-05T09:00	3	6.636
2002-09-05T10:00	3	6.448
2002-09-05T11:00	3	5.461
2002-09-05T12:00	3	5.739
2002-09-05T13:00	3	5.296
2002-09-05T14:00	3	5.095
2002-09-05T15:00	3	4.546
2002-09-05T16:00	3	3.979
2002-09-05T17:00	3	4.082
2002-09-05T18:00	3	4.043
2002-09-05T19:00	3	4.291
2002-09-05T20:00	3	4.204
2002-09-05T21:00	3	3.595
2002-09-05T22:00	3	3.596
2002-09-05T23:00	3	4.485
2002-09-06T00:00	3	3.558
2002-09-06T01:00	3	4.154
2002-09-06T02:00	3	4.199
2002-09-06T03:00	3	4.485
2002-09-06T04:00	3	4.179
2002-09-06T05:00	3	3.737
2002-09-06T06:00	3	3.775
2002-09-06T07:00	3	3.657
2002-09-06T08:00	3	4.023
2002-09-06T09:00	3	3.423
2002-09-06T10:00	3	3.468
2002-09-06T11:00	3	3.555
2002-09-06T12:00	3	3.179
2002-09-06T13:00	3	3.123
2002-09-06T14:00	3	2.816
2002-09-06T15:00	3	2.865
2002-09-06T16:00	3	2.665
2002-09-06T17:00	3	2.974
2002-09-06T18:00	3	2.731
2002-09-06T19:00	3	2.697
2002-09-06T20:00	3	2.035
2002-09-06T21:00	3	2.381
2002-09-06T22:00	3	2.193
2002-09-06T23:00	3	1.767
2002-09-07T00:00	3	1.484
2002-09-07T01:00	3	0.711
2002-09-07T02:00	3	0.822
2002-09-07T03:00	3	1.224
2002-09-07T04:00	3	1.592
