Date/Time	Q [l/s]
2011-07-04T02:15	1.0264
2011-07-04T02:45	0.9767
2011-07-04T03:15	1.0193
2011-07-04T03:45	0.9557
2011-07-04T04:15	0.9879
2011-07-04T04:45	1.0351
2011-07-04T05:15	1.0956
2011-07-04T05:45	1.1674
2011-07-04T06:15	1.1720
2011-07-04T06:45	1.1856
2011-07-04T07:15	1.2052
2011-07-04T07:45	1.2117
2011-07-04T08:15	1.1290
2011-07-04T08:45	1.0579
2011-07-04T09:15	0.9773
2011-07-04T09:45	0.9307
2011-07-04T10:15	0.9002
2011-07-04T10:45	0.8754
2011-07-04T11:15	0.8509
2011-07-04T11:45	0.8359
2011-07-04T12:15	0.8154
2011-07-04T12:45	0.8098
2011-07-04T13:15	0.7947
2011-07-04T13:45	0.7917
2011-07-04T14:15	0.7793
2011-07-04T14:45	0.7739
2011-07-04T15:15	0.7485
2011-07-04T15:45	0.7411
2011-07-04T16:15	0.7316
2011-07-04T16:45	0.7280
2011-07-04T17:15	0.7322
2011-07-04T17:45	0.7137
2011-07-04T18:15	0.7147
2011-07-04T18:45	0.7185
2011-07-04T19:15	0.7137
2011-07-04T19:45	0.7239
2011-07-04T20:15	0.7420
2011-07-04T20:45	0.7662
2011-07-04T21:15	0.7708
2011-07-04T21:45	0.7917
2011-07-04T22:15	0.7723
2011-07-04T22:45	0.7457
2011-07-04T23:15	0.7789
2011-07-04T23:45	0.8147
2011-07-05T00:15	0.8720
2011-07-05T00:45	0.8784
2011-07-05T01:15	0.8293
2011-07-05T01:45	0.8456
2011-07-05T02:15	0.8782
2011-07-05T02:45	0.8723
2011-07-05T03:15	0.8367
2011-07-05T03:45	0.8629
2011-07-05T04:15	0.8562
2011-07-05T04:45	0.8544
2011-07-05T05:15	0.7975
2011-07-05T05:45	0.7992
2011-07-05T06:15	0.8449
2011-07-05T06:45	0.8923
2011-07-05T07:15	0.9688
2011-07-05T07:45	0.9384
2011-07-05T08:15	0.8716
2011-07-05T08:45	0.8596
2011-07-05T09:15	0.8296
2011-07-05T09:45	0.7981
2011-07-05T10:15	0.7587
2011-07-05T10:45	0.7086
2011-07-05T11:15	0.6911
