Date/Time	ET [mm/h]	Precip [mm/h]
2011-05-24T04:45	0.0116	0.0000
2011-05-24T05:15	0.0149	0.0000
2011-05-24T05:45	0.0182	0.4464
2011-05-24T06:15	0.0230	0.0000
2011-05-24T06:45	0.0278	0.0000
2011-05-24T07:15	0.0174	0.0000
2011-05-24T07:45	0.0140	0.0000
2011-05-24T08:15	0.0096	0.0000
2011-05-24T08:45	0.0135	0.0000
2011-05-24T09:15	0.0158	0.0000
2011-05-24T09:45	0.0148	0.0000
2011-05-24T10:15	0.0109	0.0000
2011-05-24T10:45	0.0137	0.0000
2011-05-24T11:15	0.0136	0.2173
2011-05-24T11:45	0.0116	0.0000
2011-05-24T12:15	0.0082	0.0000
2011-05-24T12:45	0.0067	0.0000
2011-05-24T13:15	0.0059	0.0000
2011-05-24T13:45	0.0056	0.0000
2011-05-24T14:15	0.0055	0.0000
2011-05-24T14:45	0.0050	0.0000
2011-05-24T15:15	0.0049	0.0000
2011-05-24T15:45	0.0044	0.0000
2011-05-24T16:15	0.0055	0.0000
2011-05-24T16:45	0.0059	0.0000
2011-05-24T17:15	0.0054	0.0000
2011-05-24T17:45	0.0048	0.0000
2011-05-24T18:15	0.0045	0.0000
2011-05-24T18:45	0.0081	0.0000
2011-05-24T19:15	0.0083	0.0000
2011-05-24T19:45	0.0164	0.0000
2011-05-24T20:15	0.0248	0.0000
2011-05-24T20:45	0.0290	0.0000
2011-05-24T21:15	0.0318	0.0000
2011-05-24T21:45	0.0328	0.0000
2011-05-24T22:15	0.0339	0.0000
2011-05-24T22:45	0.0350	0.2365
2011-05-24T23:15	0.0336	0.0000
2011-05-24T23:45	0.0325	0.0000
2011-05-25T00:15	0.0366	0.0000
2011-05-25T00:45	0.0330	0.0000
2011-05-25T01:15	0.0319	0.0000
2011-05-25T01:45	0.0352	0.0000
2011-05-25T02:15	0.0377	0.2491
2011-05-25T02:45	0.0428	0.0000
2011-05-25T03:15	0.0363	0.0000
2011-05-25T03:45	0.0402	0.0000
2011-05-25T04:15	0.0412	0.0000
2011-05-25T04:45	0.0421	0.0000
2011-05-25T05:15	0.0422	0.0000
2011-05-25T05:45	0.0384	0.0000
2011-05-25T06:15	0.0346	0.0000
2011-05-25T06:45	0.0372	0.0000
2011-05-25T07:15	0.0399	0.0000
2011-05-25T07:45	0.0367	0.0000
2011-05-25T08:15	0.0302	0.0000
2011-05-25T08:45	0.0291	0.0000
2011-05-25T09:15	0.0281	0.0000
2011-05-25T09:45	0.0251	0.0000
2011-05-25T10:15	0.0256	0.0000
2011-05-25T10:45	0.0248	0.0000
2011-05-25T11:15	0.0203	0.0000
2011-05-25T11:45	0.0226	0.0000
2011-05-25T12:15	0.0103	0.0000
2011-05-25T12:45	0.0120	0.0000
2011-05-25T13:15	0.0119	0.0000
2011-05-25T13:45	0.0112	0.0000
2011-05-25T14:15	0.0109	0.0000
2011-05-25T14:45	0.0058	0.0000
2011-05-25T15:15	0.0051	0.0000
2011-05-25T15:45	0.0044	0.0000
2011-05-25T16:15	0.0070	0.0000
2011-05-25T16:45	0.0034	0.0000
2011-05-25T17:15	0.0095	0.0000
2011-05-25T17:45	0.0150	0.0000
2011-05-25T18:15	0.0119	0.0000
2011-05-25T18:45	0.0075	0.0000
2011-05-25T19:15	0.0081	0.0000
2011-05-25T19:45	0.0119	0.0000
2011-05-25T20:15	0.0116	0.0000
2011-05-25T20:45	0.0161	0.0000
2011-05-25T21:15	0.0196	0.0000
2011-05-25T21:45	0.0346	0.0000
2011-05-25T22:15	0.0569	0.0000
2011-05-25T22:45	0.0508	0.0000
2011-05-25T23:15	0.0889	0.0000
2011-05-25T23:45	0.1021	0.0000
2011-05-26T00:15	0.1057	0.0000
2011-05-26T00:45	0.1209	0.0000
2011-05-26T01:15	0.1369	0.0000
2011-05-26T01:45	0.1413	0.0000
2011-05-26T02:15	0.1346	0.0000
2011-05-26T02:45	0.1296	0.0000
2011-05-26T03:15	0.1521	0.0000
2011-05-26T03:45	0.1323	0.0000
2011-05-26T04:15	0.1167	0.0000
2011-05-26T04:45	0.1115	0.0000
2011-05-26T05:15	0.0794	0.0000
2011-05-26T05:45	0.0794	0.0000
2011-05-26T06:15	0.0641	0.0000
2011-05-26T06:45	0.0686	0.0000
2011-05-26T07:15	0.0643	0.0000
2011-05-26T07:45	0.0477	0.0000
2011-05-26T08:15	0.0471	0.0000
2011-05-26T08:45	0.0360	0.0000
2011-05-26T09:15	0.0306	0.0000
2011-05-26T09:45	0.0353	0.0000
2011-05-26T10:15	0.0313	0.0000
2011-05-26T10:45	0.0268	0.0000
2011-05-26T11:15	0.0279	0.0000
2011-05-26T11:45	0.0302	0.0000
2011-05-26T12:15	0.0276	0.0000
2011-05-26T12:45	0.0253	0.0000
2011-05-26T13:15	0.0258	0.0000
2011-05-26T13:45	0.0258	0.0000
2011-05-26T14:15	0.0208	0.0000
2011-05-26T14:45	0.0226	0.0000
2011-05-26T15:15	0.0201	0.0000
2011-05-26T15:45	0.0140	0.0000
2011-05-26T16:15	0.0107	0.0000
2011-05-26T16:45	0.0125	0.0000
2011-05-26T17:15	0.0082	0.0000
2011-05-26T17:45	0.0148	0.0000
2011-05-26T18:15	0.0210	0.0000
2011-05-26T18:45	0.0211	0.0000
2011-05-26T19:15	0.0208	0.0000
2011-05-26T19:45	0.0335	0.0000
2011-05-26T20:15	0.0439	0.0000
2011-05-26T20:45	0.0534	0.0000
2011-05-26T21:15	0.0525	0.0000
2011-05-26T21:45	0.0541	0.0000
2011-05-26T22:15	0.0510	0.0000
2011-05-26T22:45	0.0586	0.0000
2011-05-26T23:15	0.0692	0.0000
2011-05-26T23:45	0.0771	0.0000
2011-05-27T00:15	0.0692	0.0000
2011-05-27T00:45	0.0607	0.0000
2011-05-27T01:15	0.0732	0.0000
2011-05-27T01:45	0.0846	0.0000
2011-05-27T02:15	0.1093	0.0000
2011-05-27T02:45	0.1145	0.0000
2011-05-27T03:15	0.0914	0.0000
2011-05-27T03:45	0.1259	0.0000
2011-05-27T04:15	0.1387	0.0000
2011-05-27T04:45	0.1225	0.0000
2011-05-27T05:15	0.1062	0.0000
2011-05-27T05:45	0.1315	0.0000
2011-05-27T06:15	0.1120	0.0000
2011-05-27T06:45	0.1171	0.0000
2011-05-27T07:15	0.1132	0.0000
2011-05-27T07:45	0.1021	0.0000
2011-05-27T08:15	0.0990	0.0000
2011-05-27T08:45	0.0773	0.0000
2011-05-27T09:15	0.0674	0.0000
2011-05-27T09:45	0.0521	0.0000
2011-05-27T10:15	0.0425	0.0000
2011-05-27T10:45	0.0353	0.0000
2011-05-27T11:15	0.0117	0.0000
2011-05-27T11:45	0.0240	0.0000
2011-05-27T12:15	0.0250	0.0000
2011-05-27T12:45	0.0091	0.0000
2011-05-27T13:15	0.0033	0.0000
2011-05-27T13:45	0.0076	0.0000
2011-05-27T14:15	0.0074	0.0000
